id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
3ea491e1-5517-4a8d-8fc4-3cef8257fd2d,1478,1,34,,76,From Goal Kick,Turkey,Kaan Ayhan,Center Defensive Midfield,0.497286,3788765,12293,,,,Complete,7039,Hakan Çalhanoğlu,Ground Pass,Right Foot,81.05047,58.548344,80.5,53.0
b5510381-df81-4528-a4cf-7f0b68da93a9,1481,1,34,,76,From Goal Kick,Turkey,Hakan Çalhanoğlu,Left Midfield,3.127492,3788765,7039,,,,Incomplete,6971,Cengiz Ünder,Low Pass,Right Foot,82.8781,55.227646,117.9,64.3
a7622ba2-2b46-47f6-83d1-49822ccee089,1485,1,34,Throw-in,77,From Throw In,Turkey,Mehmet Zeki Çelik,Right Back,1.151676,3788765,10349,,,,Complete,12293,Kaan Ayhan,Low Pass,,106.8,80.0,104.2,69.0
77fc95e1-2063-4836-b777-1e59c72b40a1,1493,1,34,,77,From Throw In,Turkey,Mehmet Zeki Çelik,Right Back,0.84202,3788765,10349,,,,Complete,7039,Hakan Çalhanoğlu,Ground Pass,Right Foot,91.6,75.0,96.7,69.2
bda6209b-26dc-4c1d-a408-b9f1034fc512,1497,1,34,,77,From Throw In,Turkey,Hakan Çalhanoğlu,Left Midfield,0.469441,3788765,7039,True,,,Complete,10349,Mehmet Zeki Çelik,Ground Pass,Right Foot,96.68577,71.94699,98.0,76.3
9cc4cfe1-38c8-4e15-aa76-3fda5d2a91f4,1500,1,34,,77,From Throw In,Turkey,Mehmet Zeki Çelik,Right Back,0.914238,3788765,10349,,,,Complete,6971,Cengiz Ünder,Ground Pass,Right Foot,103.01576,75.84162,104.0,74.6
7f89e94b-e959-4fcd-817d-58007b1f062d,1503,1,35,,77,From Throw In,Turkey,Cengiz Ünder,Right Midfield,1.619829,3788765,6971,,,,Incomplete,7039,Hakan Çalhanoğlu,Ground Pass,Right Foot,104.00951,78.751976,98.7,69.9
8f8becdd-8db0-4a29-b2e6-23778c9d406e,1507,1,35,Throw-in,78,From Throw In,Turkey,Mehmet Zeki Çelik,Right Back,1.524682,3788765,10349,,,,Complete,7039,Hakan Çalhanoğlu,Low Pass,,91.2,80.0,97.8,56.4
fd2afee2-e6aa-4ed0-be08-ae3a20d69360,1511,1,35,,78,From Throw In,Turkey,Hakan Çalhanoğlu,Left Midfield,1.265422,3788765,7039,,,,Complete,30311,İrfan Can Kahveci,Low Pass,Left Foot,97.34593,53.774254,85.2,42.7
198a47c8-f0f7-4f3a-99fe-6d8d51a9a70f,1515,1,35,,78,From Throw In,Turkey,İrfan Can Kahveci,Left Center Midfield,1.804153,3788765,30311,True,,,Complete,10826,Mert Müldür,Ground Pass,Left Foot,86.3,40.1,80.9,14.7
12796b46-be0c-4124-8084-a38f593289ff,1518,1,35,,78,From Throw In,Turkey,Mert Müldür,Left Back,1.023257,3788765,10826,,,,Complete,11088,Ozan Tufan,Ground Pass,Right Foot,79.63323,21.796415,79.4,27.7
8103a88f-b681-4bb1-91a9-bdf1d9057c61,1521,1,35,,78,From Throw In,Turkey,Ozan Tufan,Right Center Midfield,1.524175,3788765,11088,,,,Complete,8963,Caglar Söyüncü,Ground Pass,Right Foot,80.9366,35.30509,63.2,25.0
f9aa812d-6e90-4b89-bad5-ab095ae44bef,1524,1,35,,78,From Throw In,Turkey,Caglar Söyüncü,Left Center Back,0.735224,3788765,8963,,,,Complete,11088,Ozan Tufan,Ground Pass,Right Foot,62.9918,30.337894,71.7,30.9
a04c290d-571c-4ada-8d97-613e82a481bf,1527,1,35,,78,From Throw In,Turkey,Ozan Tufan,Right Center Midfield,0.589358,3788765,11088,,,,Complete,7039,Hakan Çalhanoğlu,Ground Pass,Right Foot,85.03847,38.121662,91.0,24.5
