id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,off_camera,under_pressure,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
48cfb8b9-50a2-4456-8b98-28d2e146d515,1072,1,00:23:10.581,23,,45,Regular Play,Spain,Pedro González López,Left Center Midfield,0.740984,3795220,30486,,,,0.9939326031406188,Complete,5203,Sergio Busquets i Burgos,Ground Pass,Left Foot,38.676086,32.60855,34.9,30.3,0.98 (61/62)
bec82e13-0649-41f2-a215-606808fb05c2,1075,1,00:23:13.130,23,,45,Regular Play,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,1.748863,3795220,5203,,,,0.9948955314184074,Complete,31953,Eric García Martret,Ground Pass,Right Foot,31.430101,34.643806,27.7,50.4,0.93 (68/73)
8951171a-fda7-4edb-9401-ecc5c2cf7556,1078,1,00:23:15.233,23,,45,Regular Play,Spain,Eric García Martret,Right Center Back,1.176386,3795220,31953,,,,0.9763324557078209,Complete,3957,César Azpilicueta Tanco,Ground Pass,Right Foot,28.5623,52.9043,34.7,59.2,0.97 (128/132)
a0eecaa8-b47e-4746-8c80-f50920188cb3,1081,1,00:23:16.454,23,,45,Regular Play,Spain,César Azpilicueta Tanco,Right Back,1.270082,3795220,3957,,,,0.9950800296849848,Complete,31953,Eric García Martret,Ground Pass,Right Foot,35.658413,63.592213,26.8,49.1,0.87 (62/71)
e755bf11-41cc-4b5f-9f0d-3f520394701f,1084,1,00:23:19.205,23,,45,Regular Play,Spain,Eric García Martret,Right Center Back,1.760888,3795220,31953,,,,0.9844543140102454,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,28.637053,52.960377,30.6,20.0,0.97 (128/132)
ee9999dd-3017-439a-95a3-db584be202af,1087,1,00:23:21.291,23,,45,Regular Play,Spain,Aymeric Laporte,Left Center Back,1.429338,3795220,4353,,,,0.986114351641074,Complete,5203,Sergio Busquets i Burgos,Ground Pass,Left Foot,35.761692,27.285103,42.6,34.6,0.93 (132/142)
7292e7f6-a8cd-49f6-bc80-6a464c44a836,1090,1,00:23:25.767,23,,45,Regular Play,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,1.002021,3795220,5203,,,,0.9861660180379728,Complete,3957,César Azpilicueta Tanco,Ground Pass,Left Foot,54.621933,44.107323,52.7,58.8,0.93 (68/73)
b0eb9b8a-0c85-4842-87b1-a69e1d39d205,1093,1,00:23:29.915,23,,45,Regular Play,Spain,César Azpilicueta Tanco,Right Back,0.88631,3795220,3957,,,,0.9905098531295552,Complete,5203,Sergio Busquets i Burgos,Ground Pass,Right Foot,56.98028,62.635048,55.9,50.4,0.87 (62/71)
617c9bc4-525d-47aa-a9e1-79c4a393b472,1096,1,00:23:30.842,23,,45,Regular Play,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,1.276141,3795220,5203,,,,0.9950560593067828,Complete,31953,Eric García Martret,Ground Pass,Right Foot,57.427555,50.52214,43.1,49.3,0.93 (68/73)
4afece65-6efa-4e56-a0da-eacc8d0dacec,1099,1,00:23:33.190,23,,45,Regular Play,Spain,Eric García Martret,Right Center Back,1.538084,3795220,31953,,,,0.9805983463513276,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,45.941574,49.649837,48.6,15.8,0.97 (128/132)
5a787bfe-def9-4abc-9d44-e2c42269983f,1102,1,00:23:37.636,23,,45,Regular Play,Spain,Aymeric Laporte,Left Center Back,1.16817,3795220,4353,,,,0.9707396934845164,Complete,5211,Jordi Alba Ramos,Ground Pass,Right Foot,57.65448,19.216448,65.3,4.0,0.93 (132/142)
