id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
9687a40d-2d77-41e8-baf0-a0eda10f670a,193,1,00:05:05.237,5,,11,From Throw In,Italy,Leonardo Bonucci,Right Center Back,1.681949,3788766,7173,,,0.9844543140102454,Complete,3166,Marco Verratti,Ground Pass,Right Foot,54.114967,50.284473,54.7,27.8
7a38f9e0-087d-4155-8ea2-a8bbbc38986e,197,1,00:05:08.461,5,,11,From Throw In,Italy,Marco Verratti,Left Center Midfield,1.334508,3788766,3166,,,0.8942457299186105,Complete,7480,Alessandro Bastoni,Ground Pass,Right Foot,56.669296,24.60562,70.4,3.2
4ba2051d-c995-43ce-a5ec-7b28b7d232fa,200,1,00:05:11.728,5,,11,From Throw In,Italy,Alessandro Bastoni,Left Center Back,0.923532,3788766,7480,,,0.994055684592676,Complete,3166,Marco Verratti,Ground Pass,Left Foot,71.83484,4.944894,62.9,9.1
ef0a0aae-ad15-4749-b18f-74e9c7a61145,204,1,00:05:16.520,5,,11,From Throw In,Italy,Marco Verratti,Left Center Midfield,1.702785,3788766,3166,True,,0.9845634075920424,Complete,7173,Leonardo Bonucci,Ground Pass,Right Foot,69.93991,21.8759,58.7,34.2
b7b62607-145e-4644-8cf0-81915f87f859,207,1,00:05:19.890,5,,11,From Throw In,Italy,Leonardo Bonucci,Right Center Back,2.505939,3788766,7173,,,0.4774072003273804,Incomplete,,,High Pass,Right Foot,64.46743,37.681866,107.3,23.6
d4699e21-ac2c-453e-b9f5-fd76783e9a0d,208,1,00:05:22.396,5,Recovery,12,Regular Play,Wales,Joe Rodon,Right Center Back,1.111448,3788766,11250,,,0.9871243552730404,Complete,9914,Danny Ward,Low Pass,Head,15.05296,52.512753,6.6,45.2
e1f1a315-677f-4c82-ba1a-998a25193772,210,1,00:05:32.728,5,,12,Regular Play,Wales,Danny Ward,Goalkeeper,1.626195,3788766,9914,,True,0.992604553017053,Complete,10928,Chris Gunter,Ground Pass,Keeper Arm,6.6,42.9,14.2,20.9
ab69c8f7-674a-4799-8bb4-eca827affb91,212,1,00:05:35.067,5,,12,Regular Play,Wales,Chris Gunter,Left Center Back,2.025693,3788766,10928,,,0.9942012495169368,Complete,9914,Danny Ward,Ground Pass,Left Foot,16.17386,18.686016,9.0,39.6
50b383ee-95e1-4d40-b782-21cf3bdd6eb4,216,1,00:05:38.133,5,,12,Regular Play,Wales,Danny Ward,Goalkeeper,2.678603,3788766,9914,,,0.561055740205973,Complete,4774,Connor Roberts,High Pass,Right Foot,7.19967,41.848675,35.4,78.2
212936cc-fe44-4e38-a60d-772bd4af1406,218,1,00:05:40.812,5,,12,Regular Play,Wales,Connor Roberts,Right Wing Back,1.689184,3788766,4774,,,0.20564596754666148,Incomplete,6399,Gareth Frank Bale,High Pass,Head,37.05206,79.62517,54.4,75.2
