id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,off_camera,under_pressure,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
37aeb3d8-3077-4f6c-a8a7-537e480b6fd3,614,1,17,,33,From Throw In,Croatia,Luka Modrić,Right Center Midfield,0.548779,3788760,5463,,,,0.7220559547839379,Incomplete,33018,Joško Gvardiol,Low Pass,Head,53.37549,18.774883,55.2,5.9
d48549c6-cca8-4845-9813-51e0b8419d2c,619,1,17,,34,Regular Play,Czech Republic,Tomáš Souček,Left Center Midfield,1.501763,3788760,4870,,True,,0.9813597158901664,Complete,8579,Vladimír Darida,Ground Pass,Right Foot,66.479095,68.15758,67.0,51.4
ca614d7c-8ea6-4f8d-bde0-7b111291b755,622,1,17,,34,Regular Play,Czech Republic,Vladimír Darida,Center Attacking Midfield,1.661187,3788760,8579,,,,0.988126207155533,Complete,4875,Jan Bořil,Ground Pass,Right Foot,68.73002,47.4073,69.6,24.4
d8a24dd9-fea2-4757-b805-996f4fcd2643,625,1,17,,34,Regular Play,Czech Republic,Jan Bořil,Left Back,1.2459,3788760,4875,,,,0.9906633528258272,Complete,8579,Vladimír Darida,Ground Pass,Right Foot,82.21796,24.527487,90.0,30.3
4675f2a4-5f88-48f5-bf2f-1f0e2ff5eb6a,630,1,17,,34,Regular Play,Czech Republic,Vladimír Darida,Center Attacking Midfield,1.655329,3788760,8579,,,,0.8815125298883508,Complete,8095,Jakub Jankto,Ground Pass,Right Foot,98.91067,32.88551,108.3,19.2
4544c8de-f0b5-458c-837e-56a11eb110cb,633,1,17,,34,Regular Play,Czech Republic,Jakub Jankto,Left Wing,1.535102,3788760,8095,,,,0.6076293234066782,Complete,16570,Vladimír Coufal,Ground Pass,Left Foot,108.39648,22.499222,113.3,53.6
448ec10b-a43d-4b68-ac07-5132b9c7db86,636,1,17,,34,Regular Play,Czech Republic,Vladimír Coufal,Right Back,0.580455,3788760,16570,,,,0.972146599493009,Complete,7044,Patrik Schick,Ground Pass,Right Foot,112.60487,55.270653,111.2,44.7
1c77da8f-60bb-4929-a3f0-bf4512efd372,644,1,17,,35,From Keeper,Croatia,Dominik Livaković,Goalkeeper,2.683263,3788760,16531,,,,0.6727418386441735,Incomplete,5474,Ivan Perišić,High Pass,Drop Kick,15.7,40.5,64.5,71.4
aa71e1e2-55fe-4218-a1cd-f336304414d9,648,1,17,,36,Regular Play,Czech Republic,Tomáš Kalas,Left Center Back,2.668611,3788760,13197,,,,0.9665292710062394,Complete,4875,Jan Bořil,Ground Pass,Right Foot,56.305336,13.684523,70.6,4.0
3f9da6c4-dc32-4367-b083-bf87c2833bf0,652,1,17,,36,Regular Play,Czech Republic,Jan Bořil,Left Back,1.247813,3788760,4875,,,,0.9382663235517628,Complete,8095,Jakub Jankto,Ground Pass,Right Foot,70.7,4.2,88.6,2.8
b627ba24-d9d3-4cc3-b233-c6a8f686752a,656,1,17,,36,Regular Play,Czech Republic,Jakub Jankto,Left Wing,2.853321,3788760,8095,,True,,0.3814677012854518,Complete,4870,Tomáš Souček,Ground Pass,Left Foot,88.67333,5.0145946,117.2,15.1
6429f371-cc6e-48fb-9b61-ececdefd7cab,661,1,17,,36,Regular Play,Czech Republic,Tomáš Souček,Left Center Midfield,0.100895,3788760,4870,,True,,0.004342453258311134,Incomplete,,,Ground Pass,Left Foot,115.77638,15.673157,117.9,13.9
f0ab973f-7021-4bdb-a9f3-6badbb13245d,664,1,18,Goal Kick,37,From Goal Kick,Croatia,Dominik Livaković,Goalkeeper,3.634234,3788760,16531,,,,0.4588945819208952,Incomplete,5474,Ivan Perišić,High Pass,Right Foot,7.0,44.1,61.0,76.1
80daca72-4b97-4644-959b-476b7249f5f7,671,1,18,,38,Regular Play,Czech Republic,Jakub Jankto,Left Wing,1.506994,3788760,8095,,True,,0.9903602748415332,Complete,4875,Jan Bořil,Ground Pass,Right Foot,81.7,1.2,65.2,4.0
de2d19d2-65bb-4d8b-bf3d-a0a30c151fa9,675,1,18,,38,Regular Play,Czech Republic,Jan Bořil,Left Back,1.664962,3788760,4875,,True,,0.9901139369668036,Complete,13197,Tomáš Kalas,Ground Pass,Left Foot,65.13222,10.557108,45.5,10.7
6a723355-5622-46ca-9bcd-c6572243161d,678,1,18,,38,Regular Play,Czech Republic,Tomáš Kalas,Left Center Back,5.056124,3788760,13197,,,,0.2809854180107951,Out,16570,Vladimír Coufal,High Pass,Right Foot,45.752304,23.476763,119.8,62.3
e9c617fd-db9c-4250-82c5-960a411c8881,680,1,18,Goal Kick,39,From Goal Kick,Croatia,Dominik Livaković,Goalkeeper,1.686331,3788760,16531,True,,,0.995196954360282,Complete,3471,Dejan Lovren,Ground Pass,Right Foot,7.0,36.1,8.6,54.8
7ca7c953-1bc5-417d-ad25-94df00a2526a,683,1,19,,39,From Goal Kick,Croatia,Dejan Lovren,Right Center Back,0.809533,3788760,3471,,,,0.9622212281702444,Complete,5463,Luka Modrić,Ground Pass,Left Foot,9.5642,48.513397,21.3,46.9
86f8636e-e5f5-4dad-a2a8-89901efb5123,686,1,19,,39,From Goal Kick,Croatia,Luka Modrić,Right Center Midfield,1.164612,3788760,5463,,,,0.993765862892358,Complete,5468,Domagoj Vida,Ground Pass,Right Foot,20.14656,41.24963,17.3,27.2
42e1db76-c20f-44ce-b8f3-5967ddd2ab58,689,1,19,,39,From Goal Kick,Croatia,Domagoj Vida,Left Center Back,1.725651,3788760,5468,,,,0.8737275083938609,Complete,5456,Mateo Kovačić,Ground Pass,Left Foot,22.021545,20.72875,47.4,28.7
cd8dfa64-6019-4d9c-bfc6-25dc32b5a903,692,1,19,,39,From Goal Kick,Croatia,Mateo Kovačić,Left Center Midfield,3.729598,3788760,5456,,,,0.670641036976296,Incomplete,5465,Ante Rebić,Ground Pass,Right Foot,52.87344,28.708138,95.2,14.4
31d9846d-6ab1-400e-9251-348ad22ddea5,696,1,19,,40,Regular Play,Czech Republic,Ondrej Celustka,Right Center Back,1.668502,3788760,30328,,,,0.98210179057404,Complete,4870,Tomáš Souček,Ground Pass,Right Foot,22.494923,68.473175,35.7,53.0
82fa0c89-e870-4f0c-a9d5-c892350a043f,700,1,19,,40,Regular Play,Czech Republic,Tomáš Souček,Left Center Midfield,2.58179,3788760,4870,,,,0.9869640074479028,Complete,30328,Ondrej Celustka,Ground Pass,Right Foot,36.493546,68.49957,27.5,36.3
d46b1000-c3ab-47a1-9cc3-326e0ca504f6,703,1,19,,40,Regular Play,Czech Republic,Ondrej Celustka,Right Center Back,2.574843,3788760,30328,,,,0.9649328591996552,Complete,13197,Tomáš Kalas,Ground Pass,Right Foot,29.603798,38.714996,43.3,4.0
