id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,out,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
2a4c5803-0f96-40f3-9ff1-ce1bfb179000,2302,2,00:15:54.699,60,,122,From Free Kick,Denmark,Daniel Wass,Right Back,1.274787,3788742,6797,True,,,,0.5645716026783536,Complete,21261,Jonas Older Wind,High Pass,,107.8555,55.742683,107.9,46.3
adc4b587-f041-4725-993e-8dc22e49dada,2311,2,00:16:04.105,61,,122,From Free Kick,Denmark,Simon Thorup Kjær,Right Center Back,2.241613,3788742,5534,,,,,0.9212172946641584,Complete,16554,Joakim Mæhle,Ground Pass,Left Foot,56.6,34.2,75.3,8.1
0bdecd70-e277-40c3-b492-dbb2b8d5f176,2314,2,00:16:08.745,61,,122,From Free Kick,Denmark,Joakim Mæhle,Left Back,1.490131,3788742,16554,,,,,0.971609813851274,Complete,3959,Andreas Christensen,Low Pass,Right Foot,80.91464,9.12032,67.2,16.4
8adfe249-8746-4a9d-a5c5-9263dc1fb4a9,2317,2,00:16:12.038,61,,122,From Free Kick,Denmark,Andreas Christensen,Left Center Back,1.398721,3788742,3959,,,,,0.92670289886764,Complete,16554,Joakim Mæhle,Ground Pass,Right Foot,67.1979,20.437466,90.4,8.6
e31eb343-0e83-4cbc-b1ab-95b5e5eeff0b,2320,2,00:16:15.391,61,,122,From Free Kick,Denmark,Joakim Mæhle,Left Back,0.214051,3788742,16554,,,,,0.2612828488775778,Incomplete,,,Ground Pass,Right Foot,94.3,5.6,94.8,12.2
0b63a23a-0cb2-4105-b70c-dacfb3397e78,2323,2,00:16:18.916,61,Throw-in,123,From Throw In,Denmark,Joakim Mæhle,Left Back,1.087719,3788742,16554,,,,,0.875208679618398,Complete,18722,Mathias Jensen,Low Pass,,91.6,0.1,100.3,11.2
bfddc5af-8a8c-4842-adff-aa7e566d6940,2326,2,00:16:20.004,61,,123,From Throw In,Denmark,Mathias Jensen,Right Center Midfield,1.032211,3788742,18722,True,,,,0.7468168435086573,Complete,16554,Joakim Mæhle,Low Pass,Right Foot,100.99692,11.174576,100.0,4.9
f744b0ed-6de2-49b7-a5ba-1b11a75ed4ec,2330,2,00:16:21.063,61,,123,From Throw In,Denmark,Joakim Mæhle,Left Back,1.419724,3788742,16554,True,,,,0.4557172734386787,Incomplete,5527,Thomas Delaney,Low Pass,Right Foot,100.66492,2.62312,112.5,15.8
5fe5fb26-da79-4f8f-96c0-dd46eb45e448,2334,2,00:16:32.148,61,Throw-in,124,From Throw In,Denmark,Joakim Mæhle,Left Back,0.778063,3788742,16554,,,,,0.9730395042242691,Complete,18722,Mathias Jensen,Low Pass,,110.7,0.1,103.7,6.7
90001b4a-0fdf-46eb-9173-f2b8f79d7320,2340,2,00:16:39.070,61,Throw-in,125,From Throw In,Denmark,Joakim Mæhle,Left Back,0.921423,3788742,16554,,,,,0.9682349653721716,Complete,4447,Martin Braithwaite Christensen,Low Pass,,108.7,0.1,98.8,7.6
7534d6c8-4203-47b8-baae-843e2eaa6d85,2342,2,00:16:39.992,61,,125,From Throw In,Denmark,Martin Braithwaite Christensen,Left Wing,0.855647,3788742,4447,,,,,0.7989822858703278,Incomplete,,,Low Pass,Right Foot,98.6,7.6,100.4,11.6
