id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,out,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
51759de9-a008-4bbc-a712-09242a383e4d,3155,2,85,,127,Regular Play,England,Luke Shaw,Left Back,1.7284,3788759,3382,,,,,0.9824889160504688,Complete,4706,Kalvin Phillips,Ground Pass,Left Foot,46.312588,5.5584126,44.0,19.6
9f7664f0-efb1-4089-9314-736087ca374a,3157,2,85,,127,Regular Play,England,Kalvin Phillips,Right Defensive Midfield,1.164261,3788759,4706,,,,,0.9912676587911292,Complete,3382,Luke Shaw,Ground Pass,Right Foot,46.138218,22.02715,38.3,5.9
86f7f37a-8d7c-4be2-ab1e-9f86624066cf,3159,2,85,,127,Regular Play,England,Luke Shaw,Left Back,2.092102,3788759,3382,,,,,0.9920536247359244,Complete,3323,Tyrone Mings,Ground Pass,Left Foot,39.915005,9.583126,27.8,20.4
2b1b3755-36ee-4a9e-9e91-26e1bcfebd89,3162,2,86,,127,Regular Play,England,Tyrone Mings,Left Center Back,1.220413,3788759,3323,,,,,0.928791162618008,Complete,3382,Luke Shaw,Ground Pass,Left Foot,28.984222,26.552542,44.8,2.8
3432b1af-005c-46c3-8399-206b7af4b4a9,3165,2,86,,127,Regular Play,England,Luke Shaw,Left Back,1.438784,3788759,3382,,,,,0.9915648389199864,Complete,4706,Kalvin Phillips,Ground Pass,Left Foot,50.217632,5.893853,47.6,8.6
303b2c9c-3a2d-4e12-a87a-9c22518d7a14,3168,2,86,,127,Regular Play,England,Kalvin Phillips,Right Defensive Midfield,1.638296,3788759,4706,,,,,0.9506801518870608,Complete,3943,Declan Rice,Low Pass,Right Foot,49.695564,31.271154,61.9,68.6
1e045b84-5f19-46a9-9ec8-23fa6ad1f473,3171,2,86,,127,Regular Play,England,Declan Rice,Left Defensive Midfield,1.059918,3788759,3943,,,,,0.9781687566576788,Complete,3233,Raheem Sterling,Ground Pass,Right Foot,67.81346,72.63732,76.2,54.4
3c7c87dd-99dc-43eb-97fa-caff907fc4f2,3175,2,86,,127,Regular Play,England,Raheem Sterling,Right Wing,1.137127,3788759,3233,,,,,0.9762803637990316,Complete,3943,Declan Rice,Ground Pass,Right Foot,76.165794,60.763786,74.9,72.3
fc068f88-5d55-42f6-8c0b-11d14c675641,3178,2,86,,127,Regular Play,England,Declan Rice,Left Defensive Midfield,1.105507,3788759,3943,,,,,0.882247545261563,Complete,9550,Reece James,Ground Pass,Left Foot,74.91078,74.258484,84.6,74.9
db6c39df-6e85-4063-9745-3b1efd30e58b,3181,2,86,,127,Regular Play,England,Reece James,Right Back,1.634227,3788759,9550,,,,,0.9901067367268884,Complete,3943,Declan Rice,Ground Pass,Right Foot,81.98574,77.69182,66.9,71.7
e4a3477f-b620-4dee-acb5-76cb3abc1402,3184,2,86,,127,Regular Play,England,Declan Rice,Left Defensive Midfield,1.999611,3788759,3943,,,,,0.9833907348106944,Complete,3323,Tyrone Mings,Ground Pass,Right Foot,66.610954,71.0832,52.6,35.7
20129d7c-0592-477e-a09c-f87f68f24b9b,3187,2,86,,127,Regular Play,England,Tyrone Mings,Left Center Back,1.080417,3788759,3323,,,,,0.978202060466264,Complete,3382,Luke Shaw,Ground Pass,Left Foot,51.928047,34.708378,65.1,7.7
19524b22-3eae-4377-a19e-f35e493719f0,3190,2,86,,127,Regular Play,England,Luke Shaw,Left Back,0.705644,3788759,3382,,,,,0.9383154342115531,Complete,9638,Jack Grealish,Ground Pass,Left Foot,69.92242,11.242852,76.2,0.9
9b71bd98-ad4f-4159-922a-e82a1f323a83,3197,2,87,Free Kick,128,From Free Kick,England,Jordan Pickford,Goalkeeper,3.220725,3788759,3468,,,,,0.69577270089151,Incomplete,3244,John Stones,High Pass,Left Foot,51.18946,32.967903,106.2,53.9
