id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
b6bc1ac7-7264-4307-884d-10812cfca17c,2920,2,78,,135,Regular Play,Germany,Leon Goretzka,Left Attacking Midfield,1.343171,3788764,6324,,,,0.973416560039252,Complete,5574,Toni Kroos,Ground Pass,Right Foot,47.30746,43.820618,50.2,27.7
59d4a114-31e7-4039-94fd-4418a14f9007,2923,2,78,,135,Regular Play,Germany,Toni Kroos,Left Center Midfield,1.667631,3788764,5574,,,,0.9318139409978144,Complete,5562,Thomas Müller,Ground Pass,Right Foot,63.7,28.3,76.4,14.2
644a30c1-ae10-4773-919a-ab21a23243c3,2926,2,78,,135,Regular Play,Germany,Thomas Müller,Right Attacking Midfield,1.576289,3788764,5562,,,,0.9923165750027628,Complete,5574,Toni Kroos,Ground Pass,Right Foot,84.05388,7.78459,76.7,21.1
ed9fccf2-61b3-4d0d-b142-6851976fbe14,2929,2,78,,135,Regular Play,Germany,Toni Kroos,Left Center Midfield,1.284014,3788764,5574,,,,0.9941854545448696,Complete,6324,Leon Goretzka,Ground Pass,Left Foot,76.75095,15.560265,70.3,28.7
084b6440-fd1b-49ee-8456-8c4fb25f8b5e,2932,2,78,,135,Regular Play,Germany,Leon Goretzka,Left Attacking Midfield,1.067322,3788764,6324,,,,0.9937399237218356,Complete,3493,Emre Can,Ground Pass,Right Foot,68.80924,26.413982,63.5,43.7
2255e223-d4ed-4cb9-889d-8b69651c842f,2935,2,78,,135,Regular Play,Germany,Emre Can,Right Center Midfield,1.835139,3788764,3493,,,,0.9760164580257814,Complete,8808,Matthias Ginter,Ground Pass,Left Foot,68.90423,40.907215,66.6,74.0
c814edde-c138-43aa-93d5-5fe270ba6c85,2938,2,78,,135,Regular Play,Germany,Matthias Ginter,Right Center Back,1.350456,3788764,8808,,,,0.9257604004644514,Complete,5579,Joshua Kimmich,Ground Pass,Left Foot,67.11761,66.43169,81.6,76.7
11d86e0b-57bc-4840-a4eb-78b7f5cc3f19,2941,2,78,,135,Regular Play,Germany,Joshua Kimmich,Right Wing Back,1.401923,3788764,5579,,,,0.984134741907271,Complete,8808,Matthias Ginter,Ground Pass,Right Foot,76.45517,73.97952,56.8,73.2
8061a7fc-e39f-4b36-afad-593f5287908e,2944,2,78,,135,Regular Play,Germany,Matthias Ginter,Right Center Back,1.510211,3788764,8808,,,,0.9422407718798688,Complete,3493,Emre Can,Ground Pass,Right Foot,52.840706,67.046974,62.9,56.5
31e64b57-4130-408d-bf0d-cf30a9744272,2948,2,78,,135,Regular Play,Germany,Emre Can,Right Center Midfield,1.39342,3788764,3493,True,,,0.9148408455402132,Complete,3167,Antonio Rüdiger,Low Pass,Left Foot,56.268867,52.256638,49.9,32.2
fb2f37d9-08cf-4543-9b35-293bb100d08e,2951,2,78,,135,Regular Play,Germany,Antonio Rüdiger,Left Center Back,1.230107,3788764,3167,,,,0.9948094865444764,Complete,3493,Emre Can,Ground Pass,Left Foot,53.26664,26.31634,55.3,38.0
e18b4031-afbc-448d-ab28-1cec88808bd9,2954,2,78,,135,Regular Play,Germany,Emre Can,Right Center Midfield,1.478609,3788764,3493,,,,0.9781134840129924,Complete,8808,Matthias Ginter,Ground Pass,Right Foot,56.8889,43.20532,55.8,69.6
9fdbc990-17ee-4cc0-aaf1-fc647e6cee47,2957,2,78,,135,Regular Play,Germany,Matthias Ginter,Right Center Back,1.033149,3788764,8808,,,,0.9452338580999664,Complete,5579,Joshua Kimmich,Ground Pass,Left Foot,63.7,71.8,70.6,75.2
2da5a22d-5934-4325-8513-bd5d2927554f,2962,2,78,,135,Regular Play,Germany,Joshua Kimmich,Right Wing Back,0.717655,3788764,5579,,,,0.9605375533849864,Complete,5562,Thomas Müller,Ground Pass,Left Foot,70.01883,76.88716,76.7,71.5
c91a5d91-a799-43b8-ad48-84e262393327,2965,2,78,,135,Regular Play,Germany,Thomas Müller,Right Attacking Midfield,1.032569,3788764,5562,,,,0.9906131294561904,Complete,3493,Emre Can,Ground Pass,Right Foot,74.94494,68.62264,64.1,54.5
