id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
86bd3ef1-fd71-4991-bea2-37b5846c3d6e,972,1,00:30:43.112,30,,56,From Kick Off,Slovakia,Ľubomír Šatka,Right Center Back,1.10166,3788775,30397,,True,,0.9958875431219896,Complete,3711,Martin Dúbravka,Ground Pass,Right Foot,42.0,39.9,10.3,43.1
eeeb63b3-2a70-41d4-96f7-9899e98f65e6,974,1,00:30:44.214,30,,56,From Kick Off,Slovakia,Martin Dúbravka,Goalkeeper,3.166154,3788775,3711,,,,0.32897318423448274,Complete,16307,Róbert Mak,High Pass,Right Foot,13.671613,45.15584,64.2,19.8
7a591cb9-d650-497a-b9cb-02df3125e19a,978,1,00:30:50.463,30,,56,From Kick Off,Slovakia,Róbert Mak,Left Wing,1.440462,3788775,16307,True,,,0.9334233914465191,Complete,4421,Tomáš Hubočan,Low Pass,Right Foot,58.81414,0.5023435,43.5,3.4
5854f269-e067-4116-95a1-a58cef7515f7,981,1,00:30:51.903,30,,56,From Kick Off,Slovakia,Tomáš Hubočan,Left Back,2.316059,3788775,4421,True,,,0.4011673131981469,Incomplete,,,Low Pass,Left Foot,43.697758,2.7546139,69.6,4.6
9166146f-aee0-42f8-a967-419953349c64,985,1,00:30:55.276,30,,57,Regular Play,Spain,Eric García Martret,Right Center Back,2.883281,3788775,31953,True,,,0.9853119191870964,Complete,11748,Unai Simón Mendibil,Ground Pass,Left Foot,41.949,75.20246,23.6,60.7
ec1220e4-b273-4735-ab6d-5970e1f70a09,988,1,00:30:58.880,30,,57,Regular Play,Spain,Unai Simón Mendibil,Goalkeeper,3.001962,3788775,11748,,,,0.9887758193625226,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,23.565414,50.238407,27.4,50.4
99c13eaa-39d8-480f-bf17-2d0fc8dfa728,991,1,00:31:10.988,31,,57,Regular Play,Spain,Aymeric Laporte,Left Center Back,1.488815,3788775,4353,,,,0.989342959676331,Complete,31953,Eric García Martret,Ground Pass,Left Foot,55.26777,28.842834,53.7,51.7
96473807-ad1a-4060-ab7e-2c07b60db9b5,994,1,00:31:13.677,31,,57,Regular Play,Spain,Eric García Martret,Right Center Back,0.89994,3788775,31953,,,,0.9378137337143492,Complete,5199,Jorge Resurrección Merodio,Ground Pass,Right Foot,56.75513,52.96398,72.8,53.4
6383d5c7-2e93-44c4-b149-e528a70133ef,997,1,00:31:15.336,31,,57,Regular Play,Spain,Jorge Resurrección Merodio,Right Center Midfield,1.154808,3788775,5199,,,,0.9680199414434671,Complete,6720,Pablo Sarabia García,Ground Pass,Right Foot,73.60686,56.99788,79.0,76.3
3f941e71-4ff6-4184-ae14-efa8648edb51,1000,1,00:31:17.924,31,,57,Regular Play,Spain,Pablo Sarabia García,Right Wing,0.950072,3788775,6720,,,,0.9800347306997088,Complete,3957,César Azpilicueta Tanco,Ground Pass,Left Foot,76.18408,76.807434,65.5,72.3
b646cfae-aa38-4184-80f6-f4161d35dff0,1003,1,00:31:20.540,31,,57,Regular Play,Spain,César Azpilicueta Tanco,Right Back,1.264195,3788775,3957,,,,0.8815136505889668,Complete,3477,Álvaro Borja Morata Martín,Ground Pass,Right Foot,66.27424,66.8455,86.5,60.9
ac75a0d2-13b4-4c44-bd96-ce341dc4ef87,1007,1,00:31:24.586,31,,57,Regular Play,Spain,Álvaro Borja Morata Martín,Center Forward,0.495708,3788775,3477,True,,,0.9112925207772928,Complete,5199,Jorge Resurrección Merodio,Ground Pass,Right Foot,87.68421,65.873055,81.8,65.4
ed18db53-aa31-4a8f-9fe2-a71786cc2aec,1013,1,00:32:12.712,32,Free Kick,58,From Free Kick,Spain,Pablo Sarabia García,Right Wing,1.289433,3788775,6720,,,,0.6947649478927379,Complete,6766,Gerard Moreno Balaguero,High Pass,Left Foot,82.03137,61.239265,104.6,47.2
bf8f612e-3809-4541-8b17-77ff182c723d,1021,1,00:32:18.531,32,,58,From Free Kick,Spain,Jordi Alba Ramos,Left Back,1.376378,3788775,5211,,,,0.7165001434282653,Incomplete,4353,Aymeric Laporte,High Pass,Left Foot,81.16256,24.20293,101.0,25.4
77d7733f-41a8-4b1b-8dd9-0a8693209bef,1029,1,00:32:27.993,32,Throw-in,59,From Throw In,Spain,Jordi Alba Ramos,Left Back,2.41762,3788775,5211,,,,0.9833965614376552,Complete,31953,Eric García Martret,Low Pass,,64.4,0.1,50.3,11.7
21bdcbd4-c41f-46d6-a751-d50bea881d40,1031,1,00:32:30.411,32,,59,From Throw In,Spain,Eric García Martret,Right Center Back,1.331995,3788775,31953,,,,0.9911760247351412,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,48.46457,11.166985,49.0,32.3
b6a8bd8b-5850-4c84-9080-d69e77e33ddb,1034,1,00:32:33.059,32,,59,From Throw In,Spain,Aymeric Laporte,Left Center Back,1.128941,3788775,4353,,,,0.9974791345849431,Complete,31953,Eric García Martret,Ground Pass,Right Foot,46.331436,25.35736,44.5,25.2
39dcd0de-cd19-4d41-a145-8c64556a96d5,1037,1,00:32:34.222,32,,59,From Throw In,Spain,Eric García Martret,Right Center Back,1.2,3788775,31953,,,,0.989551764714596,Complete,3957,César Azpilicueta Tanco,Ground Pass,Right Foot,47.06148,32.256004,50.1,56.9
098aa773-e389-412a-b1d8-0f2764a41b0c,1040,1,00:32:36.622,32,,59,From Throw In,Spain,César Azpilicueta Tanco,Right Back,0.879998,3788775,3957,,,,0.9950800296849848,Complete,31953,Eric García Martret,Ground Pass,Right Foot,52.187836,53.06909,45.6,43.4
5b5a57f8-1a80-4772-b08b-789a1c149980,1043,1,00:32:39.502,32,,59,From Throw In,Spain,Eric García Martret,Right Center Back,1.6,3788775,31953,,,,0.9890521615215556,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,47.74207,39.424065,49.0,25.2
c72bfb7d-4006-49e3-b146-ac58d3266ba9,1046,1,00:32:43.222,32,,59,From Throw In,Spain,Aymeric Laporte,Left Center Back,2.0,3788775,4353,,,,0.9826628899815588,Complete,31953,Eric García Martret,Ground Pass,Left Foot,54.34903,18.242626,52.4,44.4
ca33413b-cb29-45c6-a3f8-d77de3da8c53,1049,1,00:32:48.329,32,,59,From Throw In,Spain,Eric García Martret,Right Center Back,1.096042,3788775,31953,,,,0.9827601327779492,Complete,3957,César Azpilicueta Tanco,Ground Pass,Right Foot,60.08156,47.24694,58.4,61.6
