id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
88e20e7c-db72-40ed-b128-795052189e3a,447,1,13,Recovery,28,Regular Play,Czech Republic,Ondrej Celustka,Right Center Back,1.040717,3788748,30328,,,,0.8880811389256568,Complete,23452,Alex Král,Low Pass,Head,28.68621,22.567013,37.3,26.4
0bf73660-ade8-4f87-bc3e-c4701fa159b9,451,1,13,,28,Regular Play,Czech Republic,Alex Král,Right Defensive Midfield,2.829008,3788748,23452,True,,,0.30292486679357256,Incomplete,7044,Patrik Schick,High Pass,Right Foot,38.883194,27.967365,71.4,41.4
8f71bf4d-cc19-4ebd-a702-a6771c27001f,456,1,13,Throw-in,29,From Throw In,Czech Republic,Patrik Schick,Center Forward,0.727964,3788748,7044,,,,0.9212007500908322,Complete,8579,Vladimír Darida,Low Pass,,106.39388,80.0,99.5,72.3
fd1fdc95-1827-459c-9cec-ca910198559d,460,1,13,,29,From Throw In,Czech Republic,Vladimír Darida,Center Attacking Midfield,0.886194,3788748,8579,True,,,0.9811903069505036,Complete,16570,Vladimír Coufal,Ground Pass,Right Foot,100.29685,74.15238,91.6,76.9
556dc568-6b5c-4432-91c4-295df409496e,464,1,13,,29,From Throw In,Czech Republic,Vladimír Coufal,Right Back,0.750898,3788748,16570,True,,,0.9787530130693772,Complete,8579,Vladimír Darida,Ground Pass,Right Foot,92.78827,76.46155,84.3,75.0
c9d61d43-8c53-48ea-8474-359db74cad04,468,1,13,,29,From Throw In,Czech Republic,Vladimír Darida,Center Attacking Midfield,1.673066,3788748,8579,True,,,0.9603944465256022,Complete,30328,Ondrej Celustka,Ground Pass,Left Foot,83.7718,73.31294,63.9,59.6
bb0631d1-54d7-4c6d-9835-2d6390f00365,471,1,13,,29,From Throw In,Czech Republic,Ondrej Celustka,Right Center Back,1.014681,3788748,30328,,,,0.9950800296849848,Complete,13197,Tomáš Kalas,Ground Pass,Right Foot,63.082912,53.29346,56.0,43.1
ad8e78d1-933f-4477-8846-de80ca5a1cdf,474,1,13,,29,From Throw In,Czech Republic,Tomáš Kalas,Left Center Back,1.473802,3788748,13197,,,,0.9825629216029504,Complete,8579,Vladimír Darida,Ground Pass,Right Foot,53.304085,41.788944,58.3,76.2
dda5efcd-931e-4786-84d3-f80901742a1c,477,1,13,,29,From Throw In,Czech Republic,Vladimír Darida,Center Attacking Midfield,1.120857,3788748,8579,,,,0.9878094031704344,Complete,30328,Ondrej Celustka,Ground Pass,Right Foot,59.66618,72.07325,45.6,66.7
9b5f5726-02f2-4d52-bbb8-f238e7c71cd7,480,1,13,,29,From Throw In,Czech Republic,Ondrej Celustka,Right Center Back,1.033926,3788748,30328,,,,0.9827601327779492,Complete,8579,Vladimír Darida,Ground Pass,Right Foot,45.7024,59.841248,48.9,77.9
7f9e2e39-3193-4d96-80f0-63ac3c1623f6,483,1,13,,29,From Throw In,Czech Republic,Vladimír Darida,Center Attacking Midfield,2.471622,3788748,8579,,,,0.20895779872067508,Incomplete,16472,Lukáš Masopust,High Pass,Right Foot,50.44346,77.20515,93.3,74.1
5eb43d83-45e6-43f2-88a4-0b31f77739a6,490,1,13,,30,Regular Play,Scotland,Andrew Robertson,Left Wing Back,1.309689,3788748,3655,,,,0.9908015414206036,Complete,9048,"Stephen O""Donnell",Ground Pass,Right Foot,14.025831,55.313316,21.2,74.5
e5241bdf-097a-4894-8376-2c6c7604c053,493,1,14,,30,Regular Play,Scotland,"Stephen O""Donnell",Right Wing Back,1.821885,3788748,9048,,,,0.9862854216415458,Complete,9645,David Marshall,Ground Pass,Left Foot,16.268036,75.966286,5.2,54.3
770e4335-23b3-4ef1-88d0-98918dee9fe9,495,1,14,,30,Regular Play,Scotland,David Marshall,Goalkeeper,3.386314,3788748,9645,,,,0.28246790311846504,Incomplete,29571,Lyndon Dykes,High Pass,Right Foot,3.286106,52.52943,57.8,55.1
3e0e7f5a-cc9d-45a4-b792-72ffc6404b7e,501,1,14,,30,Regular Play,Scotland,"Stephen O""Donnell",Right Wing Back,1.921352,3788748,9048,,,,0.7859258545158756,Incomplete,12510,Ryan Christie,Ground Pass,Right Foot,49.148056,78.419975,91.8,73.0
e835d705-509f-4ab2-ad6b-b2fea679bbeb,509,1,14,Throw-in,32,From Throw In,Czech Republic,Jan Bořil,Left Back,1.082,3788748,4875,,,,0.8793137332689196,Complete,7044,Patrik Schick,Low Pass,,35.2,0.1,49.7,6.7
8e498343-80ef-4d52-8ec5-7fbb5b10fbf0,519,1,14,,32,From Throw In,Czech Republic,Vladimír Darida,Center Attacking Midfield,3.128447,3788748,8579,,,,0.3115144320377368,Incomplete,8095,Jakub Jankto,High Pass,Right Foot,63.13422,3.093506,98.9,12.7
18f78772-897a-4b00-89a6-b1c02e19230b,524,1,14,,33,Regular Play,Scotland,Grant Hanley,Center Back,0.809838,3788748,9481,,,,0.9892105113605796,Complete,9048,"Stephen O""Donnell",Ground Pass,Right Foot,8.9,69.1,15.4,75.3
f7313366-ac87-46a1-9f2b-3d6204246355,527,1,14,,33,Regular Play,Scotland,"Stephen O""Donnell",Right Wing Back,1.036566,3788748,9048,,,,0.9944224173953566,Complete,9481,Grant Hanley,Ground Pass,Left Foot,16.275612,77.60092,5.0,72.4
addfc5db-3eb0-48a0-a5cb-58e29d8a230d,534,1,14,,33,Regular Play,Scotland,Grant Hanley,Center Back,0.863116,3788748,9481,,,,0.8902007972717049,Complete,9048,"Stephen O""Donnell",Ground Pass,Right Foot,5.301894,70.87989,13.7,75.9
a43f9f89-13a2-451f-893a-7acab7810b87,538,1,14,,33,Regular Play,Scotland,"Stephen O""Donnell",Right Wing Back,0.035503,3788748,9048,True,,,0.0014185210875285168,Incomplete,,,Low Pass,Right Foot,15.0,76.3,15.8,76.3
7dcb4d1c-34c4-4cff-9817-79a3afd337b6,540,1,14,Recovery,34,Regular Play,Czech Republic,Jakub Jankto,Left Wing,1.1895,3788748,8095,,,,0.8768976894669279,Complete,8579,Vladimír Darida,High Pass,Head,107.04149,7.71625,99.1,5.4
da56610d-43ac-4971-9f27-04ab46d4e651,543,1,14,,34,Regular Play,Czech Republic,Vladimír Darida,Center Attacking Midfield,1.671265,3788748,8579,True,,,0.5852482846535613,Complete,8095,Jakub Jankto,Ground Pass,Right Foot,98.48138,4.599686,104.5,4.0
ac342485-911e-4d50-a5ee-e16014631148,547,1,14,,34,Regular Play,Czech Republic,Jakub Jankto,Left Wing,1.073043,3788748,8095,True,,,0.7633044989038767,Complete,4875,Jan Bořil,Ground Pass,Left Foot,97.9,3.7,103.5,10.8
3a287160-8d82-4039-a3fa-d5e3b9058952,559,1,15,,34,Regular Play,Czech Republic,Jakub Jankto,Left Wing,0.735701,3788748,8095,,,,0.9758756622205664,Complete,7044,Patrik Schick,Ground Pass,Left Foot,111.96494,18.829453,105.8,27.5
0656f51e-80b0-4acb-a5e1-3466eb61c07c,564,1,15,Corner,35,From Corner,Czech Republic,Vladimír Darida,Center Attacking Midfield,1.57515,3788748,8579,,,,0.29546503295682736,Incomplete,23452,Alex Král,High Pass,Right Foot,120.0,0.1,113.1,39.0
