id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
d2a42e16-8b4b-4eb9-9010-0ebf180f5966,3399,2,00:43:16.395,88,,124,Regular Play,Spain,Marcos Llorente Moreno,Right Back,0.921247,3788750,6840,,,,,0.9746481167474146,Complete,6720,Pablo Sarabia García,Ground Pass,Right Foot,93.779015,75.38733,93.3,64.3
e86a2c18-a1cf-461c-8be5-4536b80cf0cf,3403,2,00:43:20.349,88,,124,Regular Play,Spain,Pablo Sarabia García,Right Wing,1.368961,3788750,6720,True,,,,0.9397090346946212,Complete,6655,Fabián Ruiz Peña,Ground Pass,Left Foot,98.059326,71.93378,84.0,74.5
c6ab2020-f400-4670-9b2d-1e1920d2e1a3,3406,2,00:43:22.556,88,,124,Regular Play,Spain,Fabián Ruiz Peña,Right Center Midfield,1.79766,3788750,6655,,,,,0.9807286187678146,Complete,5208,Thiago Alcântara do Nascimento,Ground Pass,Left Foot,84.79501,69.96073,77.1,47.9
101e4b28-efbf-4873-8e52-a378c99d207c,3409,2,00:43:24.354,88,,124,Regular Play,Spain,Thiago Alcântara do Nascimento,Center Defensive Midfield,1.105824,3788750,5208,True,,,,0.9846167421830272,Complete,6892,Pau Francisco Torres,Ground Pass,Right Foot,76.578224,49.862835,72.1,32.2
8695dfaa-967c-4e09-9a41-07824d080df5,3412,2,00:43:26.765,88,,124,Regular Play,Spain,Pau Francisco Torres,Left Center Back,0.897596,3788750,6892,,,,,0.9671422875998986,Complete,30486,Pedro González López,Ground Pass,Left Foot,73.9783,30.234943,83.8,24.7
d4410841-8f49-41ad-b50a-6ad3d46287d7,3415,2,00:43:29.249,88,,124,Regular Play,Spain,Pedro González López,Left Center Midfield,2.152104,3788750,30486,,,,,0.3407066509092722,Pass Offside,5211,Jordi Alba Ramos,High Pass,Right Foot,86.58299,22.271515,117.3,22.0
f2c72a01-868b-41b9-85fd-ccb4c1296ff2,3417,2,00:44:03.290,89,Free Kick,125,From Free Kick,Sweden,Robin Olsen,Goalkeeper,3.397797,3788750,5622,,,,,0.4698302387461103,Incomplete,5613,Viktor Claesson,High Pass,Right Foot,87.37311,1.232759,77.5,39.2
965172b6-b6cf-4c69-acb0-598ffe36039f,3421,2,00:44:09.476,89,Recovery,125,From Free Kick,Sweden,Albin Ekdal,Left Defensive Midfield,0.83714,3788750,5624,True,,,,0.7171146228321279,Incomplete,,,Low Pass,,60.329735,47.937828,71.6,46.4
c9dd6b71-3058-4ff7-ac93-58d32a10fd7d,3425,2,00:44:11.525,89,,125,From Free Kick,Spain,Thiago Alcântara do Nascimento,Center Defensive Midfield,1.252667,3788750,5208,,,,,0.9837247915510768,Incomplete,30486,Pedro González López,Ground Pass,Right Foot,22.4992,77.500626,54.3,24.8
031e4676-b7eb-4eb1-bbd2-b18f569055ec,3433,2,00:44:15.225,89,Recovery,126,Regular Play,Spain,Fabián Ruiz Peña,Right Center Midfield,1.278389,3788750,6655,True,,,,0.9843102820340452,Complete,5208,Thiago Alcântara do Nascimento,Low Pass,Left Foot,50.823265,40.972443,50.0,31.2
8e8b5565-45e3-4e56-ac61-2d50207cc857,3435,2,00:44:16.503,89,,126,Regular Play,Spain,Thiago Alcântara do Nascimento,Center Defensive Midfield,0.329505,3788750,5208,,,,,0.4281466612279988,Incomplete,6720,Pablo Sarabia García,Low Pass,Right Foot,50.51419,31.491898,52.2,40.9
0d91eea8-60af-42c0-9405-a19aaa346aea,3449,2,00:44:25.710,89,,126,Regular Play,Spain,Marcos Llorente Moreno,Right Back,1.51408,3788750,6840,,,,,0.9927391037362696,Complete,4353,Aymeric Laporte,Ground Pass,Left Foot,10.1,75.4,7.1,65.3
bda9ae0f-662f-46e7-9a9a-54658dd7ade9,3452,2,00:44:27.727,89,,126,Regular Play,Spain,Aymeric Laporte,Right Center Back,0.812146,3788750,4353,,,,,0.9896852214105076,Complete,6840,Marcos Llorente Moreno,Ground Pass,Left Foot,6.210526,64.88838,7.8,78.1
14a6285a-2905-4724-b60b-a8be69e1f5c0,3455,2,00:44:29.234,89,,126,Regular Play,Spain,Marcos Llorente Moreno,Right Back,0.96128,3788750,6840,,,,,0.9002862594759323,Complete,6720,Pablo Sarabia García,Ground Pass,Right Foot,5.88428,78.70456,21.4,76.9
02d591ef-92b9-47c4-9b01-79acf16e53e0,3458,2,00:44:32.933,89,,126,Regular Play,Spain,Pablo Sarabia García,Right Wing,1.453121,3788750,6720,,,,,0.9841924039122084,Complete,5208,Thiago Alcântara do Nascimento,Ground Pass,Left Foot,26.805115,75.87862,27.2,57.2
3a18cdf8-7b2c-4f23-a373-05479e656fdc,3462,2,00:44:35.303,89,,126,Regular Play,Spain,Thiago Alcântara do Nascimento,Center Defensive Midfield,1.111138,3788750,5208,,,,,0.9746747625972959,Complete,6892,Pau Francisco Torres,Ground Pass,Right Foot,22.7919,49.97091,27.2,34.6
ce5a7547-5178-4d37-a77a-a4278a293ea3,3465,2,00:44:45.025,89,,126,Regular Play,Spain,Pau Francisco Torres,Left Center Back,0.804707,3788750,6892,,,,,0.991957096192466,Complete,30486,Pedro González López,Ground Pass,Left Foot,75.30821,12.50382,70.4,25.0
434afbb9-2322-455d-9384-bae629a946a9,3468,2,00:44:50.851,89,,126,Regular Play,Spain,Pedro González López,Left Center Midfield,1.132841,3788750,30486,,,,,0.9799475706468758,Complete,6655,Fabián Ruiz Peña,Ground Pass,Right Foot,85.3,37.8,90.6,50.6
baf733f3-6d4a-4ce4-8d86-f28c2da1a729,3471,2,00:44:53.250,89,,126,Regular Play,Spain,Fabián Ruiz Peña,Right Center Midfield,1.12422,3788750,6655,,,,,0.9477701637904012,Complete,6720,Pablo Sarabia García,Ground Pass,Left Foot,90.98866,53.830093,97.2,75.0
3802992f-9b4d-47dc-b598-567ac5ecf27c,3474,2,00:44:56.388,89,,126,Regular Play,Spain,Pablo Sarabia García,Right Wing,1.322549,3788750,6720,,,,,0.0991683513760013,Complete,6766,Gerard Moreno Balaguero,High Pass,Left Foot,98.24716,66.63714,112.4,43.5
