id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
d4607ad2-c329-4c1f-a43d-034784da2ef3,3011,2,00:28:48.546,73,,143,From Throw In,Netherlands,Frenkie de Jong,Right Defensive Midfield,1.36065,3788770,8118,,,,0.8908793691680298,Complete,7745,Steven Berghuis,Ground Pass,Right Foot,42.74654,49.29875,61.9,53.5
fb6edb99-6df1-43cc-98b9-0992a4436d29,3014,2,00:28:52.285,73,,143,From Throw In,Netherlands,Steven Berghuis,Right Wing Back,1.89479,3788770,7745,,,,0.5059880512059097,Incomplete,3321,Patrick van Aanholt,High Pass,Left Foot,60.03811,49.16328,86.8,20.2
e8b19ad4-265d-49ef-b94b-232d9657b509,3016,2,00:28:54.180,73,Interception,144,From Counter,North Macedonia,Stefan Ristovski,Right Back,1.247151,3788770,10592,,True,,0.8672518656273667,Complete,44229,Tihomir Kostadinov,Low Pass,Head,33.95737,61.38002,40.7,59.9
1b4b86cc-d3f4-4240-9a2d-ce4d3590b7f9,3019,2,00:28:56.995,73,,144,From Counter,North Macedonia,Tihomir Kostadinov,Right Wing,1.202591,3788770,44229,,,,0.9173050764923928,Complete,41836,Ferhan Hasani,Ground Pass,Left Foot,42.32412,51.927048,54.3,53.6
3733959c-62c7-446f-94ff-63e9e2c436ec,3022,2,00:28:58.278,73,,144,From Counter,North Macedonia,Ferhan Hasani,Left Wing,5.377175,3788770,41836,,,,0.5743399885983005,Incomplete,30322,Darko Churlinov,Ground Pass,Right Foot,54.40274,47.596752,84.3,77.2
356fb8a6-fa2f-4421-9170-b8c3449ae92d,3026,2,00:29:05.753,74,,145,Regular Play,Netherlands,Patrick van Aanholt,Left Wing Back,1.300439,3788770,3321,,,,0.9564900662313138,Complete,3311,Daley Blind,Ground Pass,Right Foot,15.770903,5.0612497,29.9,16.3
81ec3230-3146-434d-bd0f-d21870e9d164,3029,2,00:29:08.092,74,,145,Regular Play,Netherlands,Daley Blind,Left Center Back,1.977848,3788770,3311,,,,0.6229110462373635,Complete,13360,Quincy Anton Promes,High Pass,Left Foot,30.769577,9.126514,65.0,14.8
4e6b4f60-0197-4065-9119-3abe449301bd,3039,2,00:29:14.823,74,,146,Regular Play,North Macedonia,Tihomir Kostadinov,Right Wing,0.949794,3788770,44229,True,,,0.79386145151256,Complete,30322,Darko Churlinov,Low Pass,Right Foot,70.01362,73.484314,85.3,62.0
182157f5-ce42-439f-beea-c4f4eefcb9ef,3042,2,00:29:17.496,74,,146,Regular Play,North Macedonia,Darko Churlinov,Center Forward,1.668601,3788770,30322,,,,0.9830513975166192,Complete,16535,Eljif Elmas,Ground Pass,Right Foot,80.04843,49.52795,74.0,22.7
5e72892d-6df3-4357-a4ec-c2b5f96e8422,3045,2,00:29:20.986,74,,146,Regular Play,North Macedonia,Eljif Elmas,Center Attacking Midfield,1.403544,3788770,16535,,,,0.9321351140325714,Complete,4713,Ezgjan Alioski,Ground Pass,Right Foot,84.535736,19.142796,100.7,12.7
dcceec4e-fccb-4a38-bb8a-d411237d1c6e,3052,2,00:29:28.035,74,,147,Regular Play,Netherlands,Jurriën David Norman Timber,Right Center Back,0.905085,3788770,21809,,,,0.9959016641630168,Complete,8118,Frenkie de Jong,Ground Pass,Right Foot,19.89841,59.86542,21.5,50.0
34d869ef-d729-4434-b0fd-419800e6afb9,3059,2,00:29:34.582,74,,147,Regular Play,Netherlands,Frenkie de Jong,Right Defensive Midfield,0.662263,3788770,8118,,,,0.98817411077108,Complete,3567,Georginio Wijnaldum,Ground Pass,Right Foot,47.42929,44.060047,48.6,31.9
7f7a88ba-c2f6-4196-8c5e-322211f11ae3,3062,2,00:29:36.631,74,,147,Regular Play,Netherlands,Georginio Wijnaldum,Center Attacking Midfield,1.722652,3788770,3567,,,,0.9847384308251336,Complete,23230,Ryan Gravenberch,Ground Pass,Right Foot,49.225098,29.586319,53.5,22.2
ff283aa7-1bfe-4d18-8b35-99cde3e208e3,3065,2,00:29:39.146,74,,147,Regular Play,Netherlands,Ryan Gravenberch,Left Defensive Midfield,0.954169,3788770,23230,,,,0.9090348666907436,Complete,3567,Georginio Wijnaldum,Ground Pass,Right Foot,56.79171,19.429098,61.5,19.1
9917e173-55ef-43e2-abe0-8417ac489bca,3069,2,00:29:40.313,74,,147,Regular Play,Netherlands,Georginio Wijnaldum,Center Attacking Midfield,1.207766,3788770,3567,,,,0.9681384050264824,Complete,23230,Ryan Gravenberch,Low Pass,Right Foot,64.48271,14.639095,57.0,23.4
2be3be89-f9eb-41de-af56-0dbd97ad0ced,3072,2,00:29:42.881,74,,147,Regular Play,Netherlands,Ryan Gravenberch,Left Defensive Midfield,1.419109,3788770,23230,,,,0.8799303269450435,Complete,7829,Wout Weghorst,Ground Pass,Right Foot,61.3297,18.360605,86.0,29.0
6b1a0e20-8656-4d7b-92d6-15382533f684,3075,2,00:29:45.370,74,,147,Regular Play,Netherlands,Wout Weghorst,Right Center Forward,2.192752,3788770,7829,,,,0.9319178664080294,Complete,13360,Quincy Anton Promes,Ground Pass,Right Foot,87.63556,28.873634,93.2,15.2
312eaaa1-223c-42b2-b324-d84947f4eca1,3078,2,00:29:52.068,74,,147,Regular Play,Netherlands,Quincy Anton Promes,Left Center Forward,0.834485,3788770,13360,,,,0.6908146594005299,Incomplete,23230,Ryan Gravenberch,Low Pass,Left Foot,112.57857,26.11705,110.7,43.0
c45e5156-3105-4253-a3e4-d12a0f1000de,3089,2,00:30:00.962,75,,147,Regular Play,Netherlands,Patrick van Aanholt,Left Wing Back,1.656252,3788770,3321,,,,0.8702703412334002,Complete,13360,Quincy Anton Promes,Ground Pass,Right Foot,78.23913,20.981651,99.1,11.5
5dbd5385-6dc0-4178-bbc8-d3cb932699d4,3092,2,00:30:03.705,75,,147,Regular Play,Netherlands,Quincy Anton Promes,Left Center Forward,1.979237,3788770,13360,,,,0.15425912247490353,Incomplete,8118,Frenkie de Jong,High Pass,Right Foot,98.63465,10.797429,110.4,38.5
c08278d8-0ade-4da7-a258-4a8b9b19d44b,3096,2,00:30:08.023,75,,148,From Keeper,North Macedonia,Stole Dimitrievski,Goalkeeper,1.717295,3788770,21397,,,,0.9929686961247388,Complete,4713,Ezgjan Alioski,Ground Pass,Keeper Arm,13.28884,36.23226,29.4,22.9
ceb321eb-0f3b-460f-b730-d0b853c2ebb9,3099,2,00:30:14.115,75,,148,From Keeper,North Macedonia,Ezgjan Alioski,Left Back,1.978355,3788770,4713,,,,0.7610791444615055,Incomplete,44229,Tihomir Kostadinov,High Pass,Left Foot,59.191544,12.25803,90.8,44.7
4e9247f4-a64c-4396-9492-1e16644a3134,3101,2,00:30:16.093,75,Interception,149,Regular Play,Netherlands,Daley Blind,Left Center Back,3.1154,3788770,3311,,,,0.9877094706709704,Complete,20201,Maarten Stekelenburg,Low Pass,Right Foot,30.561853,38.566204,8.3,45.8
57de65d9-6230-4ba5-8285-cd1ad4393b47,3104,2,00:30:23.701,75,,149,Regular Play,Netherlands,Maarten Stekelenburg,Goalkeeper,1.315358,3788770,20201,,,,0.9848797920599732,Complete,8069,Matthijs de Ligt,Ground Pass,Right Foot,8.097778,44.09919,15.1,53.0
d6724c5e-1f26-4bee-a91f-5596d0399ede,3107,2,00:30:27.072,75,,149,Regular Play,Netherlands,Matthijs de Ligt,Center Back,1.31766,3788770,8069,,,,0.9579586520216256,Complete,8118,Frenkie de Jong,Ground Pass,Right Foot,19.025002,53.90314,27.4,43.4
d814de22-9c39-4b5e-8974-a7ec618098d0,3110,2,00:30:29.719,75,,149,Regular Play,Netherlands,Frenkie de Jong,Right Defensive Midfield,1.199426,3788770,8118,,,,0.8884270957906486,Complete,23230,Ryan Gravenberch,Ground Pass,Right Foot,30.219484,43.802395,43.7,40.3
528442e0-4659-4bb8-b639-a9605abe21f0,3113,2,00:30:33.472,75,,149,Regular Play,Netherlands,Ryan Gravenberch,Left Defensive Midfield,3.194861,3788770,23230,,,,0.9724217222141408,Complete,8069,Matthijs de Ligt,Ground Pass,Right Foot,51.31401,39.70655,45.5,60.9
d0c6f303-e9c2-4b6b-8b0e-a1a697ab7b85,3116,2,00:30:41.182,75,,149,Regular Play,Netherlands,Matthijs de Ligt,Center Back,2.595429,3788770,8069,,,,0.9665058622951488,Complete,3311,Daley Blind,Ground Pass,Right Foot,50.70071,55.53035,48.2,25.5
987a7d3e-5ba2-4ac0-8ada-2519f060ded1,3119,2,00:30:44.727,75,,149,Regular Play,Netherlands,Daley Blind,Left Center Back,1.590461,3788770,3311,,,,0.9384181763514724,Complete,3321,Patrick van Aanholt,Ground Pass,Left Foot,51.967663,22.411287,63.0,8.0
23b72790-ef28-4fa1-a137-474824a2a24e,3122,2,00:30:46.709,75,,149,Regular Play,Netherlands,Patrick van Aanholt,Left Wing Back,1.251984,3788770,3321,,,,0.9870356144641012,Complete,23230,Ryan Gravenberch,Ground Pass,Left Foot,63.336784,7.655483,62.4,18.9
34308f5b-578b-4a0c-8c33-9bfd115ecf90,3125,2,00:30:49.251,75,,149,Regular Play,Netherlands,Ryan Gravenberch,Left Defensive Midfield,0.930847,3788770,23230,,,,0.9163737574015991,Complete,13360,Quincy Anton Promes,Ground Pass,Right Foot,67.527885,20.416649,74.1,17.3
3eb2d26e-0b69-4e16-bc9f-7a0d034c6e30,3128,2,00:30:50.182,75,,149,Regular Play,Netherlands,Quincy Anton Promes,Left Center Forward,0.717049,3788770,13360,True,,,0.9624055599509233,Complete,23230,Ryan Gravenberch,Ground Pass,Right Foot,75.84997,17.10401,72.0,18.1
784a5400-2ea7-49ad-8a64-80404936fcb1,3130,2,00:30:50.899,75,,149,Regular Play,Netherlands,Ryan Gravenberch,Left Defensive Midfield,1.251431,3788770,23230,,,,0.9936240785379464,Complete,3321,Patrick van Aanholt,Ground Pass,Right Foot,68.39864,16.752111,68.9,4.1
f33bfd97-22b4-4c75-b70b-5a33832cf004,3133,2,00:30:53.174,75,,149,Regular Play,Netherlands,Patrick van Aanholt,Left Wing Back,1.688842,3788770,3321,,,,0.981825088049762,Complete,3311,Daley Blind,Ground Pass,Left Foot,65.290085,6.5021834,37.3,10.9
a673a83f-93b8-4370-8741-7899d90a70b6,3136,2,00:30:59.164,75,,149,Regular Play,Netherlands,Daley Blind,Left Center Back,1.587098,3788770,3311,,,,0.9731621247668664,Complete,8069,Matthijs de Ligt,Ground Pass,Left Foot,37.831635,20.268854,41.2,41.3
a6b6893d-aed7-4eaf-9e2d-c14e6a0a69f7,3139,2,00:31:06.010,76,,149,Regular Play,Netherlands,Matthijs de Ligt,Center Back,4.81959,3788770,8069,,,,0.33915140526448195,Complete,7745,Steven Berghuis,High Pass,Right Foot,53.717487,53.41635,115.0,66.8
